Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1iyj_12313376_uff_E=1098.41,-7.9,0.0,0.0
1iyj_9915743_uff_E=818.89,-7.6,0.0,0.0
1iyj_2733526_uff_E=753.36,-6.4,0.0,0.0
1iyj_969516_uff_E=272.07,-7.1,0.0,0.0
1iyj_208908_uff_E=1028.85,-7.5,0.0,0.0
1iyj_73078_uff_E=1026.14,-9.1,0.0,0.0
1iyj_72303_uff_E=335.07,-7.3,0.0,0.0
1iyj_31703_uff_E=616.59,-8.1,0.0,0.0
1iyj_31553_uff_E=443.51,-9.1,0.0,0.0
1iyj_795_uff_E=217.27,-3.4,0.0,0.0
1iyj_969516_uff_E=272.07,-6.7,2.241,1.491
1iyj_969516_uff_E=272.07,-7.0,4.242,3.467
1iyj_969516_uff_E=272.07,-6.5,6.252,3.634
1iyj_31703_uff_E=616.59,-7.2,6.869,3.324
1iyj_72303_uff_E=335.07,-6.7,7.062,1.446
1iyj_969516_uff_E=272.07,-6.8,8.557,4.214
1iyj_969516_uff_E=272.07,-6.4,9.97,3.724
1iyj_72303_uff_E=335.07,-6.4,18.539,16.439
1iyj_9915743_uff_E=818.89,-7.0,19.218,15.587
1iyj_795_uff_E=217.27,-3.1,19.254,19.012
1iyj_795_uff_E=217.27,-3.1,19.255,19.032
1iyj_73078_uff_E=1026.14,-7.5,20.157,15.304
1iyj_73078_uff_E=1026.14,-7.8,20.559,15.799
1iyj_31703_uff_E=616.59,-7.5,21.361,18.262
1iyj_31703_uff_E=616.59,-7.6,22.362,19.683
1iyj_31703_uff_E=616.59,-7.6,22.364,19.641
1iyj_9915743_uff_E=818.89,-7.0,24.081,20.433
1iyj_9915743_uff_E=818.89,-7.0,24.144,20.593
1iyj_9915743_uff_E=818.89,-6.7,24.512,21.554
1iyj_31553_uff_E=443.51,-8.4,24.632,23.023
1iyj_9915743_uff_E=818.89,-7.2,24.774,21.481
1iyj_2733526_uff_E=753.36,-5.9,24.877,19.954
1iyj_73078_uff_E=1026.14,-8.2,25.132,22.133
1iyj_208908_uff_E=1028.85,-7.4,25.337,22.18
1iyj_208908_uff_E=1028.85,-6.9,26.144,23.749
1iyj_31703_uff_E=616.59,-8.0,26.633,24.427
1iyj_12313376_uff_E=1098.41,-7.4,26.66,24.352
1iyj_12313376_uff_E=1098.41,-7.4,26.711,23.149
1iyj_208908_uff_E=1028.85,-7.0,26.711,24.449
1iyj_795_uff_E=217.27,-2.9,26.838,26.249
1iyj_208908_uff_E=1028.85,-7.0,27.096,24.717
1iyj_2733526_uff_E=753.36,-6.2,27.261,24.829
1iyj_12313376_uff_E=1098.41,-7.1,27.321,24.842
1iyj_2733526_uff_E=753.36,-5.9,27.441,24.759
1iyj_2733526_uff_E=753.36,-6.3,27.893,25.338
1iyj_31703_uff_E=616.59,-7.7,27.975,25.724
1iyj_2733526_uff_E=753.36,-5.9,28.707,25.905
1iyj_73078_uff_E=1026.14,-8.7,28.83,25.021
1iyj_72303_uff_E=335.07,-6.5,29.318,26.737
1iyj_73078_uff_E=1026.14,-8.1,29.409,25.243
1iyj_9915743_uff_E=818.89,-6.6,29.458,23.524
1iyj_2733526_uff_E=753.36,-6.0,29.591,27.097
1iyj_208908_uff_E=1028.85,-6.5,29.81,26.386
1iyj_73078_uff_E=1026.14,-7.5,31.156,26.496
1iyj_72303_uff_E=335.07,-6.7,32.522,28.833
1iyj_73078_uff_E=1026.14,-7.4,32.735,28.147
1iyj_795_uff_E=217.27,-3.3,32.832,32.054
1iyj_31703_uff_E=616.59,-7.7,34.073,31.594
1iyj_795_uff_E=217.27,-3.1,34.709,34.205
1iyj_795_uff_E=217.27,-3.1,34.728,34.204
1iyj_2733526_uff_E=753.36,-6.3,35.379,32.381
1iyj_31703_uff_E=616.59,-7.2,35.382,32.93
1iyj_72303_uff_E=335.07,-6.6,35.472,32.65
1iyj_2733526_uff_E=753.36,-6.2,35.793,32.88
1iyj_72303_uff_E=335.07,-6.6,35.867,33.757
1iyj_969516_uff_E=272.07,-6.5,35.883,33.104
1iyj_31553_uff_E=443.51,-8.3,36.99,34.374
1iyj_9915743_uff_E=818.89,-6.9,37.157,32.155
1iyj_31553_uff_E=443.51,-8.5,37.65,35.363
1iyj_72303_uff_E=335.07,-6.6,37.71,35.031
1iyj_969516_uff_E=272.07,-6.8,38.579,32.817
1iyj_72303_uff_E=335.07,-6.4,38.613,35.806
1iyj_31553_uff_E=443.51,-8.0,39.055,33.594
1iyj_31553_uff_E=443.51,-8.3,39.389,36.152
1iyj_969516_uff_E=272.07,-6.4,39.83,32.381
1iyj_31553_uff_E=443.51,-7.9,39.96,34.887
1iyj_73078_uff_E=1026.14,-7.5,40.509,35.551
1iyj_12313376_uff_E=1098.41,-7.3,44.598,42.103
1iyj_12313376_uff_E=1098.41,-7.0,45.39,42.692
1iyj_9915743_uff_E=818.89,-7.1,49.442,45.322
1iyj_31553_uff_E=443.51,-7.9,50.466,47.976
1iyj_795_uff_E=217.27,-3.3,51.976,51.372
1iyj_31553_uff_E=443.51,-8.7,53.39,47.865
1iyj_12313376_uff_E=1098.41,-7.1,54.234,51.827
1iyj_208908_uff_E=1028.85,-6.8,54.511,51.003
1iyj_12313376_uff_E=1098.41,-7.2,56.051,53.419
1iyj_795_uff_E=217.27,-3.2,56.309,55.95
1iyj_12313376_uff_E=1098.41,-7.2,59.981,57.396
1iyj_208908_uff_E=1028.85,-7.3,62.783,59.595
1iyj_208908_uff_E=1028.85,-6.6,63.95,60.736
